query_index,query_id,room,candidate_count,source,mesh_construction_seconds,operator_construction_seconds,fullband_solve_seconds,candidate_preparation_seconds,strict_gate_seconds,random_selection_seconds,fem_core_or_fallback_total_seconds,omp_seconds,final_fem_omp_seconds,external_wall_clock_elapsed_seconds_audit_only
30,single_channel_ir_1/Cafe/Cafe_idx_1/S008_R047_hybrid_IR.wav,Cafe_idx_1,5296,external_runtime_recovered,,,,,,,1542.41,0.006766684120520949,1542.4167666841206,1559.96
42,single_channel_ir_1/Cafe/Cafe_idx_1/S008_R051_hybrid_IR.wav,Cafe_idx_1,5296,external_runtime_recovered,,,,,,,1528.25,0.006560962880030274,1528.25656096288,1547.61
179,single_channel_ir_1/Cafe/Cafe_idx_1/S008_R088_hybrid_IR.wav,Cafe_idx_1,5295,strict_failure_random_candidate_measured,,,,0.004692916,0.015051668,0.000101272,0.019848405,0.0,0.019848405,
335,single_channel_ir_1/Cafe/Cafe_idx_1/S008_R063_hybrid_IR.wav,Cafe_idx_1,5296,local_oversized,42.72799976798706,58.53571444097906,2458.9458097799215,,,,2560.2095239888877,0.006498095113784075,2560.2160220840015,
535,single_channel_ir_1/Cafe/Cafe_idx_1/S004_R052_hybrid_IR.wav,Cafe_idx_1,5296,external_runtime_recovered,,,,,,,1591.27,0.006739770993590355,1591.2767397709936,1621.97
699,single_channel_ir_1/Cafe/Cafe_idx_1/S002_R085_hybrid_IR.wav,Cafe_idx_1,5295,local_oversized,48.026810493087396,54.65861820895225,3669.925215733936,,,,3772.6106444359757,0.006560873938724399,3772.6172053099144,
715,single_channel_ir_1/Cafe/Cafe_idx_1/S009_R040_hybrid_IR.wav,Cafe_idx_1,5296,local_oversized,66.32584590814076,77.11424330901355,3690.7698394760955,,,,3834.20992869325,0.006681870203465223,3834.2166105634533,
917,single_channel_ir_1/Cafe/Cafe_idx_1/S004_R099_hybrid_IR.wav,Cafe_idx_1,5295,external_runtime_recovered,,,,,,,1557.98,0.006640567211434245,1557.9866405672115,1583.43
978,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_32/S010_R023_hybrid_IR.wav,MeetingRoom_idx_32,105,local_primary_97,1.3181677898392081,1.6039973818697035,28.11134663806297,,,,31.03351180977188,0.000936051132157445,31.034447860904038,
988,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_32/S004_R017_hybrid_IR.wav,MeetingRoom_idx_32,104,local_primary_97,1.5622495289426297,1.9658929260913283,33.56615870795213,,,,37.094301162986085,0.0008979560807347298,37.09519911906682,
996,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_32/S010_R025_hybrid_IR.wav,MeetingRoom_idx_32,106,local_primary_97,1.9881374440155923,2.2672747489996254,31.224935170961544,,,,35.48034736397676,0.0008894400671124458,35.481236804043874,
1025,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_32/S006_R022_hybrid_IR.wav,MeetingRoom_idx_32,104,local_primary_97,1.2294432141352445,1.6409358349628747,31.027685703942552,,,,33.89806475304067,0.0010873798746615648,33.89915213291533,
1060,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_32/S008_R023_hybrid_IR.wav,MeetingRoom_idx_32,104,local_primary_97,2.0176819080952555,2.342838105978444,31.134594873990864,,,,35.49511488806456,0.001090653007850051,35.49620554107241,
1061,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_32/S002_R018_hybrid_IR.wav,MeetingRoom_idx_32,104,local_primary_97,1.7842683519702405,2.1643629129976034,28.622579351998866,,,,32.57121061696671,0.001084313029423356,32.57229492999613,
1088,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_32/S004_R003_hybrid_IR.wav,MeetingRoom_idx_32,106,local_primary_97,1.9023612211458385,2.201368546113372,28.673989395145327,,,,32.77771916240454,0.0010856599546968937,32.778804822359234,
1157,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_32/S003_R015_hybrid_IR.wav,MeetingRoom_idx_32,105,local_primary_97,1.9211317100562155,2.212677561910823,27.619420628994703,,,,31.753229900961742,0.0011004540137946606,31.754330354975536,
1201,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_20/S005_R013_hybrid_IR.wav,MeetingRoom_idx_20,231,local_primary_97,4.316610598936677,4.605845345882699,81.15718899504282,,,,90.07964493986219,0.0012813799548894167,90.08092631981708,
1204,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_20/S001_R004_hybrid_IR.wav,MeetingRoom_idx_20,230,local_primary_97,3.413929129950702,3.9433035259135067,74.3704692099709,,,,81.72770186583512,0.0012474178802222013,81.72894928371534,
1218,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_20/S006_R016_hybrid_IR.wav,MeetingRoom_idx_20,230,local_primary_97,3.3757950491271913,4.228889259044081,73.34028926189058,,,,80.94497357006185,0.00123994005843997,80.94621351012029,
1257,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_20/S001_R025_hybrid_IR.wav,MeetingRoom_idx_20,230,local_primary_97,2.78753647999838,3.525972268078476,79.72138813021593,,,,86.03489687829278,0.0013199939858168364,86.0362168722786,
1287,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_20/S003_R010_hybrid_IR.wav,MeetingRoom_idx_20,232,local_primary_97,3.753515071934089,4.202771920943633,74.38052137894556,,,,82.33680837182328,0.0012598109897226095,82.338068182813,
1297,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_20/S002_R022_hybrid_IR.wav,MeetingRoom_idx_20,230,local_primary_97,3.65301581681706,5.463221658952534,79.91693697497249,,,,89.03317445074208,0.0012573550920933485,89.03443180583417,
1323,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_20/S009_R014_hybrid_IR.wav,MeetingRoom_idx_20,232,local_primary_97,3.6032428711187094,3.8827381059527397,76.49494119896553,,,,83.98092217603698,0.0012575299479067326,83.98217970598489,
1368,single_channel_ir_1/MeetingRoom/MeetingRoom_idx_20/S004_R025_hybrid_IR.wav,MeetingRoom_idx_20,230,local_primary_97,3.657115746056661,4.179087226977572,75.41291234199889,,,,83.24911531503312,0.001268200110644102,83.25038351514377,
1440,single_channel_ir_1/Office/Office_idx_10/S005_R004_hybrid_IR.wav,Office_idx_10,255,strict_failure_random_candidate_measured,,,,0.002271032,0.014763548,9.2961e-05,0.016807198,0.0,0.016807198,
1446,single_channel_ir_1/Office/Office_idx_10/S001_R018_hybrid_IR.wav,Office_idx_10,254,local_primary_97,4.966650116024539,5.770137064857408,92.91546259098686,,,,103.65224977186881,0.0013092269655317068,103.65355899883434,
1500,single_channel_ir_1/Office/Office_idx_10/S002_R012_hybrid_IR.wav,Office_idx_10,254,local_primary_97,5.243377160048112,5.195110793923959,100.20933309104294,,,,110.64782104501501,0.0029292090330272913,110.65075025404803,
1553,single_channel_ir_1/Office/Office_idx_10/S002_R019_hybrid_IR.wav,Office_idx_10,255,local_primary_97,3.517071831971407,3.9564057481475174,103.40810989891179,,,,110.88158747903071,0.0013027070090174675,110.88289018603973,
1567,single_channel_ir_1/Office/Office_idx_10/S005_R024_hybrid_IR.wav,Office_idx_10,254,local_primary_97,4.6497003368567675,5.772300517885014,111.23735263105482,,,,121.6593534857966,0.0013067270629107952,121.66066021285951,
1577,single_channel_ir_1/Office/Office_idx_10/S009_R016_hybrid_IR.wav,Office_idx_10,254,local_primary_97,4.3077084210235626,5.027652282034978,99.60610515298322,,,,108.94146585604176,0.001440160907804966,108.94290601694956,
1594,single_channel_ir_1/Office/Office_idx_10/S010_R001_hybrid_IR.wav,Office_idx_10,255,local_primary_97,5.38255270710215,4.653867499902844,103.20718359388411,,,,113.2436038008891,0.001328909071162343,113.24493270996027,
1595,single_channel_ir_1/Office/Office_idx_10/S004_R010_hybrid_IR.wav,Office_idx_10,254,local_primary_97,4.249112518969923,4.74789550807327,97.05177894397639,,,,106.04878697101958,0.0020141599234193563,106.050801130943,
1692,single_channel_ir_1/Office/Office_idx_11/S002_R021_hybrid_IR.wav,Office_idx_11,406,local_primary_97,8.181539027951658,12.051037585129961,254.4997103640344,,,,274.732286977116,0.0014435499906539917,274.7337305271067,
1704,single_channel_ir_1/Office/Office_idx_11/S001_R004_hybrid_IR.wav,Office_idx_11,404,local_primary_97,7.869636663002893,10.681600333889946,257.10698169795796,,,,275.6582186948508,0.0014360519126057625,275.6596547467634,
