method,K,step,source_json,T60,C50,EDT,RIR_to_GT_RIR_R@1,RIR_to_GT_RIR_R@5,RIR_to_GT_RIR_R@10
Vanilla FLAC,1,2500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=0-step=2500_metrics_1_1.0_curve0_VAN_S2500_K1_s42.json,12.6441,1.9423,62.0033,0.5839,2.8247,5.176
Vanilla FLAC,1,5000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=1-step=5000_metrics_1_1.0_curve0_VAN_S5000_K1_s42.json,10.9503,1.6659,55.28,1.2151,4.6552,7.9059
Vanilla FLAC,1,7500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=1-step=7500_metrics_1_1.0_curve0_VAN_S7500_K1_s42.json,10.8021,1.4598,51.2427,1.5149,5.3653,9.3104
Vanilla FLAC,1,10000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=2-step=10000_metrics_1_1.0_curve0_VAN_S10000_K1_s42.json,12.7979,1.4286,49.6315,1.5938,6.6593,10.9516
Vanilla FLAC,1,12500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=2-step=12500_metrics_1_1.0_curve0_VAN_S12500_K1_s42.json,11.1321,1.3343,48.3058,2.0041,7.8113,13.3028
Vanilla FLAC,1,15000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=3-step=15000_metrics_1_1.0_curve0_VAN_S15000_K1_s42.json,10.9491,1.2435,46.7901,2.1303,8.19,13.8078
Vanilla FLAC,1,17500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=3-step=17500_metrics_1_1.0_curve0_VAN_S17500_K1_s42.json,10.7344,1.3265,50.1906,2.225,8.3478,14.0445
Vanilla FLAC,1,20000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=4-step=20000_metrics_1_1.0_curve0_VAN_S20000_K1_s42.json,9.8928,1.1698,47.387,2.7931,10.2257,16.9323
Vanilla FLAC,1,22500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=4-step=22500_metrics_1_1.0_curve0_VAN_S22500_K1_s42.json,10.1361,1.1677,46.6921,2.8562,10.6833,17.4688
Vanilla FLAC,1,25000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=5-step=25000_metrics_1_1.0_curve0_VAN_S25000_K1_s42.json,10.3787,1.165,45.5644,3.8188,12.5611,19.4256
Vanilla FLAC,1,27500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=6-step=27500_metrics_1_1.0_curve0_VAN_S27500_K1_s42.json,10.3487,1.1067,46.0646,3.9766,13.2081,20.5776
Vanilla FLAC,1,30000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=6-step=30000_metrics_1_1.0_curve0_VAN_S30000_K1_s42.json,10.5613,1.1584,44.9503,4.1502,13.7447,20.8774
Vanilla FLAC,1,32500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=7-step=32500_metrics_1_1.0_curve0_VAN_S32500_K1_s42.json,10.5914,1.1603,43.8264,4.2765,14.5179,21.7926
Vanilla FLAC,1,35000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=7-step=35000_metrics_1_1.0_curve0_VAN_S35000_K1_s42.json,10.558,1.0897,45.4144,4.6394,14.8966,22.6448
Vanilla FLAC,1,37500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=37500_metrics_1_1.0_curve0_VAN_S37500_K1_s42.json,10.4627,1.1548,43.3597,4.6552,14.8651,21.5875
Vanilla FLAC,1,40000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s42.json,10.3027,1.0848,43.136,5.176,15.1176,22.6763
Vanilla FLAC,8,2500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=0-step=2500_metrics_1_1.0_exp10_A4_VAN_S2500.json,11.3682,1.8936,60.7392,0.6943,2.872,5.5231
Vanilla FLAC,8,5000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=1-step=5000_metrics_1_1.0_exp10_A4_VAN_S5000.json,9.3835,1.6205,54.1065,1.3887,5.1286,8.5529
Vanilla FLAC,8,7500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=1-step=7500_metrics_1_1.0_exp10_A4_VAN_S7500.json,9.3931,1.4073,49.1835,1.7358,5.7598,9.9732
Vanilla FLAC,8,10000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=2-step=10000_metrics_1_1.0_exp07_P1_screen_S10000_ema.json,11.7837,1.3775,47.4808,1.7832,6.9118,11.851
Vanilla FLAC,8,12500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=2-step=12500_metrics_1_1.0_exp10_A4_VAN_S12500.json,9.8905,1.2748,46.4246,1.941,8.5529,14.1707
Vanilla FLAC,8,15000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=3-step=15000_metrics_1_1.0_exp10_A4_VAN_S15000.json,9.5985,1.1717,44.3183,2.2566,8.7107,14.4864
Vanilla FLAC,8,17500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=3-step=17500_metrics_1_1.0_exp10_A4_VAN_S17500.json,9.4293,1.261,47.9502,2.3671,8.8685,14.6126
Vanilla FLAC,8,20000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=4-step=20000_metrics_1_1.0_exp07_P1_screen_S20000_ema.json,8.4419,1.0954,45.418,2.9194,10.6517,17.9896
Vanilla FLAC,8,22500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=4-step=22500_metrics_1_1.0_exp10_A4_VAN_S22500.json,8.703,1.1032,44.7553,3.1718,11.1094,17.8949
Vanilla FLAC,8,25000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=5-step=25000_metrics_1_1.0_exp10_A4_VAN_S25000.json,9.0307,1.1035,43.7817,3.9293,13.0188,20.688
Vanilla FLAC,8,27500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=6-step=27500_metrics_1_1.0_exp10_A4_VAN_S27500.json,9.1845,1.0401,44.4233,3.882,13.6342,21.193
Vanilla FLAC,8,30000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=6-step=30000_metrics_1_1.0_exp07_P1_screen_S30000_ema.json,9.2003,1.0958,43.4281,4.166,14.2181,21.8084
Vanilla FLAC,8,32500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=7-step=32500_metrics_1_1.0_exp10_A4_VAN_S32500.json,9.2458,1.0955,41.7976,4.3869,14.944,22.0925
Vanilla FLAC,8,35000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=7-step=35000_metrics_1_1.0_exp10_A4_VAN_S35000.json,9.3528,1.0217,43.5734,4.8761,15.2754,23.3233
Vanilla FLAC,8,37500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=37500_metrics_1_1.0_exp10_A4_VAN_S37500.json,9.1075,1.0824,41.4309,4.7814,15.2911,22.6763
Vanilla FLAC,8,40000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P1_screen_S40000_ema.json,8.9889,1.0076,40.6197,5.1917,15.6068,23.3233
Per-angle FA,1,2500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=0-step=2500_metrics_1_1.0_curve0_FA_S2500_K1_s42_fa_invariant_a4.json,12.272,1.8694,62.7898,0.8521,3.5032,6.1386
Per-angle FA,1,5000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=1-step=5000_metrics_1_1.0_curve0_FA_S5000_K1_s42_fa_invariant_a4.json,10.7619,1.4243,51.2585,1.1677,4.9708,8.19
Per-angle FA,1,7500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=1-step=7500_metrics_1_1.0_curve0_FA_S7500_K1_s42_fa_invariant_a4.json,10.5023,1.3722,49.1336,1.4518,6.0596,10.0363
Per-angle FA,1,10000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=2-step=10000_metrics_1_1.0_curve0_FA_S10000_K1_s42_fa_invariant_a4.json,11.5399,1.3406,48.9486,1.6569,6.1543,11.062
Per-angle FA,1,12500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=2-step=12500_metrics_1_1.0_curve0_FA_S12500_K1_s42_fa_invariant_a4.json,10.6023,1.276,47.4263,2.2881,8.4898,14.155
Per-angle FA,1,15000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=3-step=15000_metrics_1_1.0_curve0_FA_S15000_K1_s42_fa_invariant_a4.json,12.7423,1.2631,47.6811,2.6669,9.6733,15.1491
Per-angle FA,1,17500,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=3-step=17500_metrics_1_1.0_curve0_FA_S17500_K1_s42_fa_invariant_a4.json,10.6575,1.222,45.2974,3.0614,10.1941,16.5851
Per-angle FA,1,20000,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=4-step=20000_metrics_1_1.0_curve0_FA_S20000_K1_s42_fa_invariant_a4.json,10.4066,1.1502,45.6936,3.1876,11.0778,17.2479
