arm	step	checkpoint	sha256
FA	2500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=0-step=2500.ckpt	7a6e4e2483221696366f24e6989947780ca0df986af7fe0ea3d760f650c3f62f
FA	5000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=1-step=5000.ckpt	f63e8d936b7c83fc58fac8c4ed1413a71721cc37df74b650f472f881ea40016d
FA	7500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=1-step=7500.ckpt	2188570cd23c18ebb45a5a63756c00714b81a223b3f8d1889909fd4199152670
FA	10000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=2-step=10000.ckpt	7295ddff8a011289979f71f5304fa899d85c1edf484647fbda27cbbfeadb64b2
FA	12500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=2-step=12500.ckpt	cef3fe9f975431eaff675396f5a96432689f5cee169d6535d751deb2c9e77f79
FA	15000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=3-step=15000.ckpt	d4259d63c8a400dba6b257bc507bb431991345c7ab2cbdb330510f66818a4b2a
FA	17500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=3-step=17500.ckpt	ecef053cf30fff3632f4e191cb9ec0f8540ba005e79e988d1dd12a25c1e7e349
FA	20000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=4-step=20000.ckpt	2a288c3109b80ff03dd7e9105dfbd0710ed48882c275aefc52ee0ff891548a0b
FA	22500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=4-step=22500.ckpt	7475de251e45fa989d59bf7f8ca01e3b874467a416c81053693cd9839f73036a
FA	27500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=6-step=27500.ckpt	9dec91d3f130a7130914c89bb62b7f2bed6c7b70f2ff764f8bace24f3bca7030
FA	30000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=6-step=30000.ckpt	cd9065a4454f7feefdf3d1bafd2900e43c7470acc467448ab4bc9632fca8fb2f
FA	32500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=7-step=32500.ckpt	84af0d20e10150e4e40a01ec1d73541cac4176c0ee14303a0f8103373ccc2941
FA	35000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=7-step=35000.ckpt	9909ba0325390abfb499b4be224d48fef4bc7b23a8b8a81d67b9b12a1f17223b
FA	37500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=37500.ckpt	eb682648ec5567cbe553009e921906ff1c78ec707be323b625436ada45fc2f97
