arm	step	checkpoint	sha256
VAN	2500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=0-step=2500.ckpt	09e9aa9b8edf1f8489a521299f4c65bff5af630c8b70aeea411304231842fed2
VAN	5000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=1-step=5000.ckpt	e36ab13595920a4269c5b6c10831448a3d721a9be248f24c8692496b49fc7977
VAN	7500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=1-step=7500.ckpt	20e9c84b4c225c327b30c8c7c7c36cd4c87a3a914df09f6c215f1a95987c0a52
VAN	10000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=2-step=10000.ckpt	ea25e6820f195cef5bfa560deeb88570135dee191cfe9e3f1ecf3172137a553f
VAN	12500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=2-step=12500.ckpt	0eb62f58013e085fa6ab490ea0c93206a67ecfafedd4c71d01d727a42c09ce1f
VAN	15000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=3-step=15000.ckpt	106d51eedc6e740395439bcef896a70f96b7e56fbf1f084d351c6b374fcbe24f
VAN	17500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=3-step=17500.ckpt	7a9acd4b765088d38bd28a0de82611f648bd25387a616d99d067b05256b1d0ca
VAN	20000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=4-step=20000.ckpt	1d85d9e389eb3700effaf3fdd2d66a74df5f65b3eb8367335cb372d8a5166f0e
VAN	22500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=4-step=22500.ckpt	c586df5883d000b43a74e96d616c2c7cda54adf17932cd52ed5be105182edae9
VAN	25000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=5-step=25000.ckpt	91e22681556fecc13a8091449289374191debf099f159f2827bcfa4068368a4d
VAN	27500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=6-step=27500.ckpt	d8a89da56e188a19d800648ee72939e11f2267d0a89b58314ce00a3c779aa2e9
VAN	30000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=6-step=30000.ckpt	2fede1baeebca07e325624d5d0021159bb137970b4430956215a3d903e607e92
VAN	32500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=7-step=32500.ckpt	7625e4da526477cc01976804f80eb45a96a14746488ee595787e2e7633d9d345
VAN	35000	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=7-step=35000.ckpt	cbe0105c89dd46a568d68618bd36675ead29d9968b98abe22cc5a296f5b0d496
VAN	37500	/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=37500.ckpt	7c74e355e851dd24b800d6dc101155206ac78d17ff176a1d859c8411077d5c5d
