method,K,angle_deg,seed,source_json,T60,C50,EDT,FD,RIR_to_GT_RIR_R@1,RIR_to_GT_RIR_R@5,RIR_to_GT_RIR_R@10,RIR_to_geom_R@1,RIR_to_geom_R@5,RIR_to_geom_R@10
Vanilla P1@40k,1,0,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s42.json,10.3027,1.0848,43.136,0.3188,5.176,15.1176,22.6763,3.7873,13.287,19.6781
Vanilla P1@40k,1,0,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s43.json,10.3029,1.0768,43.6099,0.3181,4.955,15.1333,22.4554,3.5979,12.498,19.6939
Vanilla P1@40k,1,0,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s44.json,10.2952,1.1007,43.9622,0.3188,4.9708,14.9598,22.3607,3.5821,12.7663,19.2836
Vanilla P1@40k,1,0,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s45.json,10.2403,1.0912,43.5174,0.3191,4.9866,15.3069,22.7237,3.5979,13.2397,19.4256
Vanilla P1@40k,1,0,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s46.json,10.2941,1.0885,42.96,0.3181,4.8603,15.0387,22.3292,3.7242,13.0977,19.7254
Vanilla P1@40k,1,90,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s42_rot90.json,10.6102,1.1122,44.6498,0.3246,4.5921,14.3601,21.7137,3.1245,11.0305,17.2163
Vanilla P1@40k,1,90,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s43_rot90.json,10.5694,1.1071,45.0734,0.3252,4.5132,14.5968,21.8242,3.2507,11.2672,16.9007
Vanilla P1@40k,1,90,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s44_rot90.json,10.6067,1.1207,45.2853,0.3255,4.4816,14.5653,21.6033,2.9194,11.1567,17.2006
Vanilla P1@40k,1,90,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s45_rot90.json,10.5118,1.11,45.1749,0.3246,4.3712,14.2496,21.8873,3.0298,11.2356,17.0585
Vanilla P1@40k,1,90,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s46_rot90.json,10.5986,1.1086,44.7928,0.3245,4.4501,14.5653,21.6822,3.0298,11.3618,17.1217
Vanilla P1@40k,1,180,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_1_s42_rot180.json,11.225,1.2179,49.6333,0.3195,4.813,14.802,21.9347,3.5032,12.1351,19.0469
Vanilla P1@40k,1,180,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_1_s43_rot180.json,11.1973,1.2126,50.1776,0.3188,4.529,14.8335,21.7295,3.3612,12.2929,19.1573
Vanilla P1@40k,1,180,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_1_s44_rot180.json,11.1993,1.2323,50.518,0.3198,4.813,14.2812,21.7295,3.4243,12.0877,19.3309
Vanilla P1@40k,1,180,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_1_s45_rot180.json,11.0835,1.2194,50.3207,0.3195,4.4974,14.5179,22.0767,3.7557,12.4665,19.4572
Vanilla P1@40k,1,180,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_1_s46_rot180.json,11.2444,1.224,49.8211,0.3192,4.7025,14.4706,22.0294,3.2665,12.4507,19.4729
Vanilla P1@40k,1,270,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot270_unseeneval_1_s42_rot270.json,10.884,1.1621,45.3217,0.3242,4.6079,14.7073,21.4928,3.7557,11.5828,17.4215
Vanilla P1@40k,1,270,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot270_unseeneval_1_s43_rot270.json,10.8403,1.1565,46.195,0.3249,4.4343,14.1234,21.7769,3.5506,11.6932,17.7055
Vanilla P1@40k,1,270,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot270_unseeneval_1_s44_rot270.json,10.8702,1.1734,46.167,0.3248,4.4658,14.0918,22.0925,3.7084,11.6301,17.532
Vanilla P1@40k,1,270,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot270_unseeneval_1_s45_rot270.json,10.79,1.1581,46.0957,0.3246,4.6079,14.2339,21.7295,3.6926,11.7248,17.8002
Vanilla P1@40k,1,270,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot270_unseeneval_1_s46_rot270.json,10.8809,1.1638,45.6006,0.3238,4.5605,14.7388,21.7137,3.6768,12.1035,17.958
Vanilla P1@40k,8,0,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P1_screen_S40000_ema.json,8.9889,1.0076,40.6197,0.3221,5.1917,15.6068,23.3233,3.7557,13.4448,20.1831
Vanilla P1@40k,8,0,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K8_s43.json,8.9926,1.0042,40.5696,0.3215,5.1917,15.2911,23.4496,3.8662,13.2397,20.1515
Vanilla P1@40k,8,0,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K8_s44.json,9.0043,1.0099,40.794,0.3218,4.9392,15.6699,23.4654,3.7242,13.2239,19.8674
Vanilla P1@40k,8,0,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K8_s45.json,8.9767,1.0132,40.555,0.3217,5.2391,15.228,23.3865,3.6453,13.4764,20.0726
Vanilla P1@40k,8,0,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K8_s46.json,9.0011,1.0116,40.7099,0.3219,5.3022,15.3543,23.418,3.7399,13.3028,20.0726
Vanilla P1@40k,8,90,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s42_rot90.json,9.3009,1.0409,42.3415,0.3295,4.9392,14.9913,22.3923,3.0614,11.7248,17.4057
Vanilla P1@40k,8,90,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s43_rot90.json,9.2983,1.0407,42.1787,0.3292,4.7972,14.944,22.3923,3.1087,11.6301,17.532
Vanilla P1@40k,8,90,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s44_rot90.json,9.3211,1.0412,42.4024,0.3292,4.9077,14.944,22.2503,2.9036,11.5354,17.4057
Vanilla P1@40k,8,90,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s45_rot90.json,9.2886,1.0414,42.2627,0.3291,4.8446,14.9913,22.4712,3.2507,11.8668,17.4846
Vanilla P1@40k,8,90,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s46_rot90.json,9.3123,1.0421,42.337,0.3291,5.0339,15.086,22.124,3.014,11.6143,17.7371
Vanilla P1@40k,8,180,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_s42_rot180.json,9.8918,1.1413,47.4263,0.3239,4.8761,15.3543,22.6448,3.4559,12.5611,19.9148
Vanilla P1@40k,8,180,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_s43_rot180.json,9.8819,1.1372,47.3326,0.3234,4.9235,15.2596,22.8026,3.5506,12.8452,19.8674
Vanilla P1@40k,8,180,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_s44_rot180.json,9.9042,1.1441,47.3979,0.3237,5.0339,15.0387,22.3765,3.6453,12.7821,19.9779
Vanilla P1@40k,8,180,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_s45_rot180.json,9.8642,1.144,47.3381,0.3234,4.9392,15.0071,23.0393,3.7399,12.7505,19.9148
Vanilla P1@40k,8,180,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot180_unseeneval_s46_rot180.json,9.9044,1.146,47.4457,0.3237,5.0024,15.1333,22.3923,3.3612,12.6874,20.0568
Vanilla P1@40k,8,270,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_VAN40_rot270_unseeneval_s42_rot270.json,9.5848,1.0904,43.1572,0.3295,4.7183,14.9282,22.2661,3.8188,12.3244,18.0054
