method,K,angle_deg,metric,n,mean,std
Vanilla P1@40k,1,0,T60,5,10.28704,0.026447268289938798
Vanilla P1@40k,1,0,C50,5,1.0883999999999998,0.008755855183818434
Vanilla P1@40k,1,0,EDT,5,43.4371,0.3969645953986331
Vanilla P1@40k,1,0,FD,5,0.31858,0.0004549725266430881
Vanilla P1@40k,1,0,RIR_to_GT_RIR_R@1,5,4.989739999999999,0.1151335659136815
Vanilla P1@40k,1,0,RIR_to_GT_RIR_R@5,5,15.111260000000001,0.12942763615240788
Vanilla P1@40k,1,0,RIR_to_GT_RIR_R@10,5,22.50906,0.18116239400052114
Vanilla P1@40k,1,0,RIR_to_geom_R@1,5,3.65788,0.0923115485732961
Vanilla P1@40k,1,0,RIR_to_geom_R@5,5,12.97774,0.3367166954577694
Vanilla P1@40k,1,0,RIR_to_geom_R@10,5,19.561320000000002,0.19601376737362122
Vanilla P1@40k,1,90,T60,5,10.579339999999998,0.04102533363666937
Vanilla P1@40k,1,90,C50,5,1.11172,0.005359757457198981
Vanilla P1@40k,1,90,EDT,5,44.99524,0.26590987759013424
Vanilla P1@40k,1,90,FD,5,0.32488,0.0004438468204234428
Vanilla P1@40k,1,90,RIR_to_GT_RIR_R@1,5,4.4816400000000005,0.08122378346272736
Vanilla P1@40k,1,90,RIR_to_GT_RIR_R@5,5,14.467419999999999,0.1539994383106646
Vanilla P1@40k,1,90,RIR_to_GT_RIR_R@10,5,21.74214,0.1134498259143659
Vanilla P1@40k,1,90,RIR_to_geom_R@1,5,3.0708399999999996,0.12402787186757666
Vanilla P1@40k,1,90,RIR_to_geom_R@5,5,11.21036,0.12453004858266155
Vanilla P1@40k,1,90,RIR_to_geom_R@10,5,17.099560000000004,0.12802217776619831
Vanilla P1@40k,1,180,T60,5,11.1899,0.0625826253843666
Vanilla P1@40k,1,180,C50,5,1.22124,0.007401553890906971
Vanilla P1@40k,1,180,EDT,5,50.09414,0.36224185705133594
Vanilla P1@40k,1,180,FD,5,0.31936,0.00037815340802378603
Vanilla P1@40k,1,180,RIR_to_GT_RIR_R@1,5,4.670979999999999,0.1513449767914349
Vanilla P1@40k,1,180,RIR_to_GT_RIR_R@5,5,14.581039999999998,0.23379855217686896
Vanilla P1@40k,1,180,RIR_to_GT_RIR_R@10,5,21.89996,0.163792423512199
Vanilla P1@40k,1,180,RIR_to_geom_R@1,5,3.46218,0.18557959747773994
Vanilla P1@40k,1,180,RIR_to_geom_R@5,5,12.286579999999997,0.1745322090618233
Vanilla P1@40k,1,180,RIR_to_geom_R@10,5,19.293039999999998,0.18691024048992042
Vanilla P1@40k,1,270,T60,5,10.85308,0.039260374425112765
Vanilla P1@40k,1,270,C50,5,1.1627800000000001,0.006626235733808446
