method,K,angle_deg,seed,source_json,T60,C50,EDT,FD,RIR_to_GT_RIR_R@1,RIR_to_GT_RIR_R@5,RIR_to_GT_RIR_R@10,RIR_to_geom_R@1,RIR_to_geom_R@5,RIR_to_geom_R@10
Vanilla P1@40k,1,0,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s42.json,10.3027,1.0848,43.136,0.3188,5.176,15.1176,22.6763,3.7873,13.287,19.6781
Vanilla P1@40k,1,0,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s43.json,10.3029,1.0768,43.6099,0.3181,4.955,15.1333,22.4554,3.5979,12.498,19.6939
Vanilla P1@40k,1,0,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s44.json,10.2952,1.1007,43.9622,0.3188,4.9708,14.9598,22.3607,3.5821,12.7663,19.2836
Vanilla P1@40k,1,0,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s45.json,10.2403,1.0912,43.5174,0.3191,4.9866,15.3069,22.7237,3.5979,13.2397,19.4256
Vanilla P1@40k,1,0,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K1_s46.json,10.2941,1.0885,42.96,0.3181,4.8603,15.0387,22.3292,3.7242,13.0977,19.7254
Vanilla P1@40k,1,45,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_1_s42_rot45.json,10.9854,1.1412,44.628,0.3282,3.8188,13.2555,19.9148,3.4086,11.1883,17.4373
Vanilla P1@40k,1,45,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_1_s43_rot45.json,11.0379,1.1358,45.1466,0.3281,3.9451,13.145,20.041,3.4717,11.0147,17.3268
Vanilla P1@40k,1,45,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_1_s44_rot45.json,11.01,1.1534,45.4946,0.3287,4.0082,13.287,19.899,3.2665,11.3776,17.3899
Vanilla P1@40k,1,45,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_1_s45_rot45.json,10.8946,1.1402,45.0797,0.3281,3.8977,13.1292,19.757,3.4559,11.1094,17.1848
Vanilla P1@40k,1,45,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_1_s46_rot45.json,10.9337,1.1469,44.8368,0.3276,3.8346,13.1292,19.8832,3.5506,11.2356,17.169
Vanilla P1@40k,1,90,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s42_rot90.json,10.6102,1.1122,44.6498,0.3246,4.5921,14.3601,21.7137,3.1245,11.0305,17.2163
Vanilla P1@40k,1,90,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s43_rot90.json,10.5694,1.1071,45.0734,0.3252,4.5132,14.5968,21.8242,3.2507,11.2672,16.9007
Vanilla P1@40k,1,90,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s44_rot90.json,10.6067,1.1207,45.2853,0.3255,4.4816,14.5653,21.6033,2.9194,11.1567,17.2006
Vanilla P1@40k,1,90,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s45_rot90.json,10.5118,1.11,45.1749,0.3246,4.3712,14.2496,21.8873,3.0298,11.2356,17.0585
Vanilla P1@40k,1,90,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_1_s46_rot90.json,10.5986,1.1086,44.7928,0.3245,4.4501,14.5653,21.6822,3.0298,11.3618,17.1217
Vanilla P1@40k,8,0,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P1_screen_S40000_ema.json,8.9889,1.0076,40.6197,0.3221,5.1917,15.6068,23.3233,3.7557,13.4448,20.1831
Vanilla P1@40k,8,0,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K8_s43.json,8.9926,1.0042,40.5696,0.3215,5.1917,15.2911,23.4496,3.8662,13.2397,20.1515
Vanilla P1@40k,8,0,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K8_s44.json,9.0043,1.0099,40.794,0.3218,4.9392,15.6699,23.4654,3.7242,13.2239,19.8674
Vanilla P1@40k,8,0,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K8_s45.json,8.9767,1.0132,40.555,0.3217,5.2391,15.228,23.3865,3.6453,13.4764,20.0726
Vanilla P1@40k,8,0,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp07_P140_K8_s46.json,9.0011,1.0116,40.7099,0.3219,5.3022,15.3543,23.418,3.7399,13.3028,20.0726
Vanilla P1@40k,8,45,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_s42_rot45.json,9.7193,1.0707,42.4546,0.3326,4.0871,13.4764,20.3093,3.377,11.4092,17.7055
Vanilla P1@40k,8,45,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_s43_rot45.json,9.7151,1.0683,42.2853,0.3321,4.0555,13.6184,20.4829,3.661,11.2356,17.7687
Vanilla P1@40k,8,45,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_s44_rot45.json,9.7185,1.0735,42.4876,0.3322,4.166,13.508,20.5302,3.5348,11.4407,17.4057
Vanilla P1@40k,8,45,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_s45_rot45.json,9.707,1.0712,42.3004,0.332,3.9766,13.3186,20.3409,3.4086,11.3303,17.4373
Vanilla P1@40k,8,45,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot45_unseeneval_s46_rot45.json,9.7135,1.073,42.4237,0.332,4.1187,13.5553,20.2777,3.5506,11.3776,17.4373
Vanilla P1@40k,8,90,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s42_rot90.json,9.3009,1.0409,42.3415,0.3295,4.9392,14.9913,22.3923,3.0614,11.7248,17.4057
Vanilla P1@40k,8,90,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s43_rot90.json,9.2983,1.0407,42.1787,0.3292,4.7972,14.944,22.3923,3.1087,11.6301,17.532
Vanilla P1@40k,8,90,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s44_rot90.json,9.3211,1.0412,42.4024,0.3292,4.9077,14.944,22.2503,2.9036,11.5354,17.4057
Vanilla P1@40k,8,90,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s45_rot90.json,9.2886,1.0414,42.2627,0.3291,4.8446,14.9913,22.4712,3.2507,11.8668,17.4846
Vanilla P1@40k,8,90,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_P1/FLAC_exp07_P1/exp07_P1/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_VAN40_rot90_unseeneval_s46_rot90.json,9.3123,1.0421,42.337,0.3291,5.0339,15.086,22.124,3.014,11.6143,17.7371
FA B-F@40k,1,0,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K1_s42_fa_invariant_a4.json,9.4859,1.0547,41.2371,0.3284,5.2391,15.7014,23.7494,4.1187,13.65,20.83
FA B-F@40k,1,0,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K1_s43_fa_invariant_a4.json,9.5294,1.0562,42.0486,0.3291,4.9708,16.1906,23.9388,3.9135,13.7447,20.8616
FA B-F@40k,1,0,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K1_s44_fa_invariant_a4.json,9.6117,1.0623,42.0137,0.3293,5.3653,16.017,23.5443,4.024,13.5395,20.6407
FA B-F@40k,1,0,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K1_s45_fa_invariant_a4.json,9.501,1.0512,41.9092,0.3285,5.0181,16.0959,23.7494,3.9766,13.9656,21.0825
FA B-F@40k,1,0,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K1_s46_fa_invariant_a4.json,9.586,1.0552,41.5605,0.3284,5.2391,16.3484,23.6232,4.308,13.934,20.5302
FA B-F@40k,1,45,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot45_unseeneval_1_s42_fa_invariant_a4_rot45.json,11.0529,1.163,43.4843,0.334,3.8662,12.2929,19.2836,3.1876,10.3519,15.9697
