method,K,angle_deg,metric,n,mean,std
Vanilla P1@40k,1,0,T60,5,10.28704,0.026447268289938798
Vanilla P1@40k,1,0,C50,5,1.0883999999999998,0.008755855183818434
Vanilla P1@40k,1,0,EDT,5,43.4371,0.3969645953986331
Vanilla P1@40k,1,0,FD,5,0.31858,0.0004549725266430881
Vanilla P1@40k,1,0,RIR_to_GT_RIR_R@1,5,4.989739999999999,0.1151335659136815
Vanilla P1@40k,1,0,RIR_to_GT_RIR_R@5,5,15.111260000000001,0.12942763615240788
Vanilla P1@40k,1,0,RIR_to_GT_RIR_R@10,5,22.50906,0.18116239400052114
Vanilla P1@40k,1,0,RIR_to_geom_R@1,5,3.65788,0.0923115485732961
Vanilla P1@40k,1,0,RIR_to_geom_R@5,5,12.97774,0.3367166954577694
Vanilla P1@40k,1,0,RIR_to_geom_R@10,5,19.561320000000002,0.19601376737362122
Vanilla P1@40k,1,45,T60,5,10.97232,0.05792993181421842
Vanilla P1@40k,1,45,C50,5,1.1435000000000002,0.006801470429252788
Vanilla P1@40k,1,45,EDT,5,45.03714,0.3280983663476549
Vanilla P1@40k,1,45,FD,5,0.32814,0.00039115214431215486
Vanilla P1@40k,1,45,RIR_to_GT_RIR_R@1,5,3.90088,0.07844308127553394
Vanilla P1@40k,1,45,RIR_to_GT_RIR_R@5,5,13.189179999999999,0.07601672184460459
Vanilla P1@40k,1,45,RIR_to_GT_RIR_R@10,5,19.899,0.10102880777283245
Vanilla P1@40k,1,45,RIR_to_geom_R@1,5,3.4306600000000005,0.10505009757253915
Vanilla P1@40k,1,45,RIR_to_geom_R@5,5,11.18512,0.13636659048315294
Vanilla P1@40k,1,45,RIR_to_geom_R@10,5,17.30156,0.12049005353140177
Vanilla P1@40k,1,90,T60,5,10.579339999999998,0.04102533363666937
Vanilla P1@40k,1,90,C50,5,1.11172,0.005359757457198981
Vanilla P1@40k,1,90,EDT,5,44.99524,0.26590987759013424
Vanilla P1@40k,1,90,FD,5,0.32488,0.0004438468204234428
Vanilla P1@40k,1,90,RIR_to_GT_RIR_R@1,5,4.4816400000000005,0.08122378346272736
Vanilla P1@40k,1,90,RIR_to_GT_RIR_R@5,5,14.467419999999999,0.1539994383106646
Vanilla P1@40k,1,90,RIR_to_GT_RIR_R@10,5,21.74214,0.1134498259143659
Vanilla P1@40k,1,90,RIR_to_geom_R@1,5,3.0708399999999996,0.12402787186757666
Vanilla P1@40k,1,90,RIR_to_geom_R@5,5,11.21036,0.12453004858266155
Vanilla P1@40k,1,90,RIR_to_geom_R@10,5,17.099560000000004,0.12802217776619831
Vanilla P1@40k,8,0,T60,5,8.99272,0.010903760819093933
Vanilla P1@40k,8,0,C50,5,1.0093,0.0035270384177097176
