/home/yixunhu/miniconda3/envs/flac/lib/python3.10/site-packages/lightning_fabric/__init__.py:40: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
Seed set to 42
/home/yixunhu/miniconda3/envs/flac/lib/python3.10/site-packages/torch/nn/utils/weight_norm.py:143: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
You are using a model of type dinov3_vit to instantiate a model of type cylindrical_dinov3_vit. This is not supported for all configurations of models and can yield errors.
/home/yixunhu/miniconda3/envs/flac/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/yixunhu/miniconda3/envs/flac/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
wandb: WARNING The anonymous setting has no effect and will be removed in a future version.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: yh4742 (yh4742-princeton-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in wandb/run-20260813_161247-1dhgf4xa
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run exp12B_ssl_cond
wandb: ⭐️ View project at https://wandb.ai/yh4742-princeton-university/exp12B_ssl_cond
wandb: 🚀 View run at https://wandb.ai/yh4742-princeton-university/exp12B_ssl_cond/runs/1dhgf4xa
wandb: logging graph, to disable use `wandb.watch(log_graph=False)`
Using bfloat16 Automatic Mixed Precision (AMP)
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
HPU available: False, using: 0 HPUs
/home/yixunhu/miniconda3/envs/flac/lib/python3.10/site-packages/pytorch_lightning/trainer/configuration_validator.py:74: You defined a `validation_step` but have no `val_dataloader`. Skipping val loop.
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]

  | Name          | Type                             | Params
-------------------------------------------------------------------
0 | diffusion     | ConditionedDiffusionModelWrapper | 64.5 M
1 | diffusion_ema | EMA                              | 16.7 M
2 | losses        | MultiLoss                        | 0     
-------------------------------------------------------------------
50.3 M    Trainable params
30.9 M    Non-trainable params
81.2 M    Total params
324.893   Total estimated model params size (MB)
Using Augmentations: Random Time Shift, Add Noise
Running json scandir...
Found 291210 files in 243 subfolders
Loading cylindrical_dinov3 ViT from facebook/dinov3-vits16-pretrain-lvd1689m (gauge=cylindrical_xyz, azimuth_mode=lowband, prefix_mode=m0_registers, attn=eager)...
Loaded SSL backbone from outputs_FLAC/exp12B_ssl/backbone_final.pt (SSL step 30000, azimuth_mode=lowband, prefix_mode=m0_registers)
21.59M/21.60M parameters are trainable

Training: |          | 0/? [00:00<?, ?it/s]
Training:   0%|          | 0/9100 [00:00<?, ?it/s]
Epoch 0:   0%|          | 0/9100 [00:00<?, ?it/s] 
Epoch 0:   0%|          | 1/9100 [00:08<20:30:15,  0.12it/s]
Epoch 0:   0%|          | 1/9100 [00:08<21:00:14,  0.12it/s, v_num=f4xa, train/loss=2.370, train/std_data=1.160, train/lr=5e-7, train/mse_loss=2.370]
Epoch 0:   0%|          | 2/9100 [00:14<17:59:06,  0.14it/s, v_num=f4xa, train/loss=2.370, train/std_data=1.160, train/lr=5e-7, train/mse_loss=2.370]
Epoch 0:   0%|          | 2/9100 [00:14<17:59:11,  0.14it/s, v_num=f4xa, train/loss=2.310, train/std_data=1.110, train/lr=5e-7, train/mse_loss=2.310]
Epoch 0:   0%|          | 3/9100 [00:19<16:08:04,  0.16it/s, v_num=f4xa, train/loss=2.310, train/std_data=1.110, train/lr=5e-7, train/mse_loss=2.310]
Epoch 0:   0%|          | 3/9100 [00:19<16:17:48,  0.16it/s, v_num=f4xa, train/loss=2.640, train/std_data=1.230, train/lr=9.95e-7, train/mse_loss=2.640]
Epoch 0:   0%|          | 4/9100 [00:24<15:46:48,  0.16it/s, v_num=f4xa, train/loss=2.640, train/std_data=1.230, train/lr=9.95e-7, train/mse_loss=2.640]
Epoch 0:   0%|          | 4/9100 [00:25<15:53:48,  0.16it/s, v_num=f4xa, train/loss=2.570, train/std_data=1.200, train/lr=9.95e-7, train/mse_loss=2.570]
Epoch 0:   0%|          | 5/9100 [00:31<15:40:20,  0.16it/s, v_num=f4xa, train/loss=2.570, train/std_data=1.200, train/lr=9.95e-7, train/mse_loss=2.570]
Epoch 0:   0%|          | 5/9100 [00:31<15:46:13,  0.16it/s, v_num=f4xa, train/loss=2.300, train/std_data=1.130, train/lr=1.49e-6, train/mse_loss=2.300]
Epoch 0:   0%|          | 6/9100 [00:36<15:21:02,  0.16it/s, v_num=f4xa, train/loss=2.300, train/std_data=1.130, train/lr=1.49e-6, train/mse_loss=2.300]
Epoch 0:   0%|          | 6/9100 [00:36<15:23:08,  0.16it/s, v_num=f4xa, train/loss=2.600, train/std_data=1.230, train/lr=1.49e-6, train/mse_loss=2.600]
Epoch 0:   0%|          | 7/9100 [00:41<15:06:26,  0.17it/s, v_num=f4xa, train/loss=2.600, train/std_data=1.230, train/lr=1.49e-6, train/mse_loss=2.600]
Epoch 0:   0%|          | 7/9100 [00:42<15:10:39,  0.17it/s, v_num=f4xa, train/loss=2.590, train/std_data=1.220, train/lr=1.97e-6, train/mse_loss=2.590]
Epoch 0:   0%|          | 8/9100 [00:47<15:06:49,  0.17it/s, v_num=f4xa, train/loss=2.590, train/std_data=1.220, train/lr=1.97e-6, train/mse_loss=2.590]
Epoch 0:   0%|          | 8/9100 [00:48<15:10:15,  0.17it/s, v_num=f4xa, train/loss=2.340, train/std_data=1.110, train/lr=1.97e-6, train/mse_loss=2.340]
Epoch 0:   0%|          | 9/9100 [00:53<15:02:27,  0.17it/s, v_num=f4xa, train/loss=2.340, train/std_data=1.110, train/lr=1.97e-6, train/mse_loss=2.340]
Epoch 0:   0%|          | 9/9100 [00:53<15:04:07,  0.17it/s, v_num=f4xa, train/loss=2.620, train/std_data=1.230, train/lr=2.45e-6, train/mse_loss=2.620]
Epoch 0:   0%|          | 10/9100 [00:59<14:55:24,  0.17it/s, v_num=f4xa, train/loss=2.620, train/std_data=1.230, train/lr=2.45e-6, train/mse_loss=2.620]
Epoch 0:   0%|          | 10/9100 [00:59<14:58:12,  0.17it/s, v_num=f4xa, train/loss=2.620, train/std_data=1.220, train/lr=2.45e-6, train/mse_loss=2.620]
Epoch 0:   0%|          | 11/9100 [01:05<14:56:55,  0.17it/s, v_num=f4xa, train/loss=2.620, train/std_data=1.220, train/lr=2.45e-6, train/mse_loss=2.620]
Epoch 0:   0%|          | 11/9100 [01:05<14:59:36,  0.17it/s, v_num=f4xa, train/loss=2.750, train/std_data=1.270, train/lr=2.93e-6, train/mse_loss=2.750]
Epoch 0:   0%|          | 12/9100 [01:11<14:57:03,  0.17it/s, v_num=f4xa, train/loss=2.750, train/std_data=1.270, train/lr=2.93e-6, train/mse_loss=2.750]
Epoch 0:   0%|          | 12/9100 [01:11<14:59:21,  0.17it/s, v_num=f4xa, train/loss=2.400, train/std_data=1.160, train/lr=2.93e-6, train/mse_loss=2.400]
Epoch 0:   0%|          | 13/9100 [01:15<14:44:36,  0.17it/s, v_num=f4xa, train/loss=2.400, train/std_data=1.160, train/lr=2.93e-6, train/mse_loss=2.400]
Epoch 0:   0%|          | 13/9100 [01:16<14:46:49,  0.17it/s, v_num=f4xa, train/loss=2.460, train/std_data=1.180, train/lr=3.4e-6, train/mse_loss=2.460] 
Epoch 0:   0%|          | 14/9100 [01:22<14:47:31,  0.17it/s, v_num=f4xa, train/loss=2.460, train/std_data=1.180, train/lr=3.4e-6, train/mse_loss=2.460]
Epoch 0:   0%|          | 14/9100 [01:22<14:49:31,  0.17it/s, v_num=f4xa, train/loss=2.410, train/std_data=1.170, train/lr=3.4e-6, train/mse_loss=2.410]
Epoch 0:   0%|          | 15/9100 [01:27<14:48:11,  0.17it/s, v_num=f4xa, train/loss=2.410, train/std_data=1.170, train/lr=3.4e-6, train/mse_loss=2.410]
Epoch 0:   0%|          | 15/9100 [01:28<14:50:10,  0.17it/s, v_num=f4xa, train/loss=2.390, train/std_data=1.150, train/lr=3.86e-6, train/mse_loss=2.390]
Epoch 0:   0%|          | 16/9100 [01:33<14:41:14,  0.17it/s, v_num=f4xa, train/loss=2.390, train/std_data=1.150, train/lr=3.86e-6, train/mse_loss=2.390]
Epoch 0:   0%|          | 16/9100 [01:33<14:43:00,  0.17it/s, v_num=f4xa, train/loss=2.350, train/std_data=1.130, train/lr=3.86e-6, train/mse_loss=2.350]
Epoch 0:   0%|          | 17/9100 [01:38<14:41:03,  0.17it/s, v_num=f4xa, train/loss=2.350, train/std_data=1.130, train/lr=3.86e-6, train/mse_loss=2.350]
Epoch 0:   0%|          | 17/9100 [01:39<14:42:48,  0.17it/s, v_num=f4xa, train/loss=2.400, train/std_data=1.150, train/lr=4.32e-6, train/mse_loss=2.400]
Epoch 0:   0%|          | 18/9100 [01:44<14:42:31,  0.17it/s, v_num=f4xa, train/loss=2.400, train/std_data=1.150, train/lr=4.32e-6, train/mse_loss=2.400]
Epoch 0:   0%|          | 18/9100 [01:45<14:44:04,  0.17it/s, v_num=f4xa, train/loss=2.300, train/std_data=1.100, train/lr=4.32e-6, train/mse_loss=2.300]
Epoch 0:   0%|          | 19/9100 [01:50<14:40:52,  0.17it/s, v_num=f4xa, train/loss=2.300, train/std_data=1.100, train/lr=4.32e-6, train/mse_loss=2.300]
Epoch 0:   0%|          | 19/9100 [01:50<14:42:27,  0.17it/s, v_num=f4xa, train/loss=2.270, train/std_data=1.110, train/lr=4.78e-6, train/mse_loss=2.270]
Epoch 0:   0%|          | 20/9100 [01:56<14:40:38,  0.17it/s, v_num=f4xa, train/loss=2.270, train/std_data=1.110, train/lr=4.78e-6, train/mse_loss=2.270]
Epoch 0:   0%|          | 20/9100 [01:56<14:42:03,  0.17it/s, v_num=f4xa, train/loss=2.370, train/std_data=1.110, train/lr=4.78e-6, train/mse_loss=2.370]
Epoch 0:   0%|          | 21/9100 [02:02<14:41:41,  0.17it/s, v_num=f4xa, train/loss=2.370, train/std_data=1.110, train/lr=4.78e-6, train/mse_loss=2.370]
Epoch 0:   0%|          | 21/9100 [02:02<14:43:03,  0.17it/s, v_num=f4xa, train/loss=2.260, train/std_data=1.080, train/lr=5.23e-6, train/mse_loss=2.260]
Epoch 0:   0%|          | 22/9100 [02:07<14:39:41,  0.17it/s, v_num=f4xa, train/loss=2.260, train/std_data=1.080, train/lr=5.23e-6, train/mse_loss=2.260]
Epoch 0:   0%|          | 22/9100 [02:08<14:40:58,  0.17it/s, v_num=f4xa, train/loss=2.350, train/std_data=1.130, train/lr=5.23e-6, train/mse_loss=2.350]
Epoch 0:   0%|          | 23/9100 [02:13<14:37:44,  0.17it/s, v_num=f4xa, train/loss=2.350, train/std_data=1.130, train/lr=5.23e-6, train/mse_loss=2.350]
Epoch 0:   0%|          | 23/9100 [02:13<14:39:02,  0.17it/s, v_num=f4xa, train/loss=2.480, train/std_data=1.180, train/lr=5.68e-6, train/mse_loss=2.480]
Epoch 0:   0%|          | 24/9100 [02:19<14:39:03,  0.17it/s, v_num=f4xa, train/loss=2.480, train/std_data=1.180, train/lr=5.68e-6, train/mse_loss=2.480]
Epoch 0:   0%|          | 24/9100 [02:19<14:40:11,  0.17it/s, v_num=f4xa, train/loss=2.340, train/std_data=1.130, train/lr=5.68e-6, train/mse_loss=2.340]
Epoch 0:   0%|          | 25/9100 [02:25<14:39:10,  0.17it/s, v_num=f4xa, train/loss=2.340, train/std_data=1.130, train/lr=5.68e-6, train/mse_loss=2.340]
Epoch 0:   0%|          | 25/9100 [02:25<14:40:21,  0.17it/s, v_num=f4xa, train/loss=2.400, train/std_data=1.160, train/lr=6.12e-6, train/mse_loss=2.400]
Epoch 0:   0%|          | 26/9100 [02:30<14:36:26,  0.17it/s, v_num=f4xa, train/loss=2.400, train/std_data=1.160, train/lr=6.12e-6, train/mse_loss=2.400]
Epoch 0:   0%|          | 26/9100 [02:30<14:37:31,  0.17it/s, v_num=f4xa, train/loss=2.470, train/std_data=1.170, train/lr=6.12e-6, train/mse_loss=2.470]
Epoch 0:   0%|          | 27/9100 [02:36<14:37:48,  0.17it/s, v_num=f4xa, train/loss=2.470, train/std_data=1.170, train/lr=6.12e-6, train/mse_loss=2.470]
Epoch 0:   0%|          | 27/9100 [02:36<14:38:52,  0.17it/s, v_num=f4xa, train/loss=2.420, train/std_data=1.160, train/lr=6.56e-6, train/mse_loss=2.420]
Epoch 0:   0%|          | 28/9100 [02:42<14:38:09,  0.17it/s, v_num=f4xa, train/loss=2.420, train/std_data=1.160, train/lr=6.56e-6, train/mse_loss=2.420]
Epoch 0:   0%|          | 28/9100 [02:42<14:39:07,  0.17it/s, v_num=f4xa, train/loss=2.490, train/std_data=1.190, train/lr=6.56e-6, train/mse_loss=2.490]
Epoch 0:   0%|          | 29/9100 [02:47<14:35:11,  0.17it/s, v_num=f4xa, train/loss=2.490, train/std_data=1.190, train/lr=6.56e-6, train/mse_loss=2.490]
Epoch 0:   0%|          | 29/9100 [02:48<14:36:12,  0.17it/s, v_num=f4xa, train/loss=2.500, train/std_data=1.190, train/lr=7e-6, train/mse_loss=2.500]   
Epoch 0:   0%|          | 30/9100 [02:53<14:36:29,  0.17it/s, v_num=f4xa, train/loss=2.500, train/std_data=1.190, train/lr=7e-6, train/mse_loss=2.500]
Epoch 0:   0%|          | 30/9100 [02:54<14:37:24,  0.17it/s, v_num=f4xa, train/loss=2.790, train/std_data=1.330, train/lr=7e-6, train/mse_loss=2.790]
Epoch 0:   0%|          | 31/9100 [02:59<14:36:35,  0.17it/s, v_num=f4xa, train/loss=2.790, train/std_data=1.330, train/lr=7e-6, train/mse_loss=2.790]
Epoch 0:   0%|          | 31/9100 [02:59<14:37:22,  0.17it/s, v_num=f4xa, train/loss=2.320, train/std_data=1.100, train/lr=7.43e-6, train/mse_loss=2.320]
Epoch 0:   0%|          | 32/9100 [03:04<14:33:24,  0.17it/s, v_num=f4xa, train/loss=2.320, train/std_data=1.100, train/lr=7.43e-6, train/mse_loss=2.320]
Epoch 0:   0%|          | 32/9100 [03:05<14:34:16,  0.17it/s, v_num=f4xa, train/loss=2.310, train/std_data=1.120, train/lr=7.43e-6, train/mse_loss=2.310]
Epoch 0:   0%|          | 33/9100 [03:11<14:34:55,  0.17it/s, v_num=f4xa, train/loss=2.310, train/std_data=1.120, train/lr=7.43e-6, train/mse_loss=2.310]
Epoch 0:   0%|          | 33/9100 [03:11<14:35:46,  0.17it/s, v_num=f4xa, train/loss=2.470, train/std_data=1.170, train/lr=7.85e-6, train/mse_loss=2.470]
Epoch 0:   0%|          | 34/9100 [03:17<14:35:31,  0.17it/s, v_num=f4xa, train/loss=2.470, train/std_data=1.170, train/lr=7.85e-6, train/mse_loss=2.470]
Epoch 0:   0%|          | 34/9100 [03:17<14:35:57,  0.17it/s, v_num=f4xa, train/loss=2.450, train/std_data=1.170, train/lr=7.85e-6, train/mse_loss=2.450]
Epoch 0:   0%|          | 35/9100 [03:22<14:32:24,  0.17it/s, v_num=f4xa, train/loss=2.450, train/std_data=1.170, train/lr=7.85e-6, train/mse_loss=2.450]
Epoch 0:   0%|          | 35/9100 [03:22<14:33:16,  0.17it/s, v_num=f4xa, train/loss=2.620, train/std_data=1.240, train/lr=8.27e-6, train/mse_loss=2.620]
Epoch 0:   0%|          | 36/9100 [03:28<14:33:39,  0.17it/s, v_num=f4xa, train/loss=2.620, train/std_data=1.240, train/lr=8.27e-6, train/mse_loss=2.620]
Epoch 0:   0%|          | 36/9100 [03:28<14:34:26,  0.17it/s, v_num=f4xa, train/loss=2.670, train/std_data=1.260, train/lr=8.27e-6, train/mse_loss=2.670]
Epoch 0:   0%|          | 37/9100 [03:34<14:34:10,  0.17it/s, v_num=f4xa, train/loss=2.670, train/std_data=1.260, train/lr=8.27e-6, train/mse_loss=2.670]
Epoch 0:   0%|          | 37/9100 [03:34<14:34:57,  0.17it/s, v_num=f4xa, train/loss=2.360, train/std_data=1.120, train/lr=8.69e-6, train/mse_loss=2.360]
Epoch 0:   0%|          | 38/9100 [03:39<14:31:39,  0.17it/s, v_num=f4xa, train/loss=2.360, train/std_data=1.120, train/lr=8.69e-6, train/mse_loss=2.360]
Epoch 0:   0%|          | 38/9100 [03:39<14:32:23,  0.17it/s, v_num=f4xa, train/loss=2.490, train/std_data=1.180, train/lr=8.69e-6, train/mse_loss=2.490]
Epoch 0:   0%|          | 39/9100 [03:44<14:30:22,  0.17it/s, v_num=f4xa, train/loss=2.490, train/std_data=1.180, train/lr=8.69e-6, train/mse_loss=2.490]
Epoch 0:   0%|          | 39/9100 [03:44<14:31:08,  0.17it/s, v_num=f4xa, train/loss=2.290, train/std_data=1.130, train/lr=9.1e-6, train/mse_loss=2.290] 
Epoch 0:   0%|          | 40/9100 [03:51<14:32:17,  0.17it/s, v_num=f4xa, train/loss=2.290, train/std_data=1.130, train/lr=9.1e-6, train/mse_loss=2.290]
Epoch 0:   0%|          | 40/9100 [03:51<14:33:00,  0.17it/s, v_num=f4xa, train/loss=2.440, train/std_data=1.190, train/lr=9.1e-6, train/mse_loss=2.440]
Epoch 0:   0%|          | 41/9100 [03:56<14:30:58,  0.17it/s, v_num=f4xa, train/loss=2.440, train/std_data=1.190, train/lr=9.1e-6, train/mse_loss=2.440]
Epoch 0:   0%|          | 41/9100 [03:56<14:31:38,  0.17it/s, v_num=f4xa, train/loss=2.390, train/std_data=1.160, train/lr=9.51e-6, train/mse_loss=2.390]
Epoch 0:   0%|          | 42/9100 [04:02<14:30:55,  0.17it/s, v_num=f4xa, train/loss=2.390, train/std_data=1.160, train/lr=9.51e-6, train/mse_loss=2.390]
Epoch 0:   0%|          | 42/9100 [04:02<14:31:35,  0.17it/s, v_num=f4xa, train/loss=2.510, train/std_data=1.200, train/lr=9.51e-6, train/mse_loss=2.510]
Epoch 0:   0%|          | 43/9100 [04:08<14:31:26,  0.17it/s, v_num=f4xa, train/loss=2.510, train/std_data=1.200, train/lr=9.51e-6, train/mse_loss=2.510]
Epoch 0:   0%|          | 43/9100 [04:08<14:32:06,  0.17it/s, v_num=f4xa, train/loss=2.360, train/std_data=1.140, train/lr=9.92e-6, train/mse_loss=2.360]
Epoch 0:   0%|          | 44/9100 [04:13<14:30:35,  0.17it/s, v_num=f4xa, train/loss=2.360, train/std_data=1.140, train/lr=9.92e-6, train/mse_loss=2.360]
Epoch 0:   0%|          | 44/9100 [04:13<14:31:14,  0.17it/s, v_num=f4xa, train/loss=2.440, train/std_data=1.190, train/lr=9.92e-6, train/mse_loss=2.440]
Epoch 0:   0%|          | 45/9100 [04:19<14:29:36,  0.17it/s, v_num=f4xa, train/loss=2.440, train/std_data=1.190, train/lr=9.92e-6, train/mse_loss=2.440]
Epoch 0:   0%|          | 45/9100 [04:19<14:30:16,  0.17it/s, v_num=f4xa, train/loss=2.260, train/std_data=1.110, train/lr=1.03e-5, train/mse_loss=2.260]
Epoch 0:   1%|          | 46/9100 [04:25<14:30:25,  0.17it/s, v_num=f4xa, train/loss=2.260, train/std_data=1.110, train/lr=1.03e-5, train/mse_loss=2.260]
Epoch 0:   1%|          | 46/9100 [04:25<14:31:00,  0.17it/s, v_num=f4xa, train/loss=2.540, train/std_data=1.230, train/lr=1.03e-5, train/mse_loss=2.540]
Epoch 0:   1%|          | 47/9100 [04:30<14:29:35,  0.17it/s, v_num=f4xa, train/loss=2.540, train/std_data=1.230, train/lr=1.03e-5, train/mse_loss=2.540]
Epoch 0:   1%|          | 47/9100 [04:31<14:30:11,  0.17it/s, v_num=f4xa, train/loss=2.390, train/std_data=1.170, train/lr=1.07e-5, train/mse_loss=2.390]
Epoch 0:   1%|          | 48/9100 [04:36<14:27:50,  0.17it/s, v_num=f4xa, train/loss=2.390, train/std_data=1.170, train/lr=1.07e-5, train/mse_loss=2.390]
Epoch 0:   1%|          | 48/9100 [04:36<14:28:24,  0.17it/s, v_num=f4xa, train/loss=2.490, train/std_data=1.200, train/lr=1.07e-5, train/mse_loss=2.490]
Epoch 0:   1%|          | 49/9100 [04:42<14:28:42,  0.17it/s, v_num=f4xa, train/loss=2.490, train/std_data=1.200, train/lr=1.07e-5, train/mse_loss=2.490]
Epoch 0:   1%|          | 49/9100 [04:42<14:29:17,  0.17it/s, v_num=f4xa, train/loss=2.330, train/std_data=1.120, train/lr=1.11e-5, train/mse_loss=2.330]
Epoch 0:   1%|          | 50/9100 [04:48<14:29:15,  0.17it/s, v_num=f4xa, train/loss=2.330, train/std_data=1.120, train/lr=1.11e-5, train/mse_loss=2.330]
