model,conditioner_key,angle_deg,roll_columns,max_abs,l2,cosine_distance
simple_vit,source_vit,22.5,32,0.2567044496536255,1.367117166519165,0.01773369312286377
simple_vit,source_vit,45.0,64,0.5656259655952454,2.832195281982422,0.07850956916809082
simple_vit,source_vit,67.5,96,0.9719768762588501,4.7708234786987305,0.2429126501083374
simple_vit,source_vit,90.0,128,1.5886601209640503,7.4058685302734375,0.6578430831432343
simple_vit,source_vit,112.5,160,2.027437448501587,10.033202171325684,1.1301106810569763
simple_vit,source_vit,135.0,192,2.2175729274749756,11.690449714660645,1.330186665058136
simple_vit,source_vit,157.5,224,2.516782760620117,12.405118942260742,1.3742040991783142
simple_vit,source_vit,180.0,256,2.6346118450164795,12.510955810546875,1.3510321974754333
simple_vit,source_vit,202.5,288,2.6163673400878906,12.164360046386719,1.2817210853099823
simple_vit,source_vit,225.0,320,2.4683661460876465,11.35598087310791,1.1559668630361557
simple_vit,source_vit,247.5,352,2.1596155166625977,9.969443321228027,0.9446356743574142
simple_vit,source_vit,270.0,384,1.6757187843322754,7.958284378051758,0.6354545652866364
simple_vit,source_vit,292.5,416,1.0969970226287842,5.603496551513672,0.3166189193725586
simple_vit,source_vit,315.0,448,0.5849668383598328,3.380648374557495,0.11149567365646362
simple_vit,source_vit,337.5,480,0.26740339398384094,1.5254969596862793,0.022081434726715088
simple_vit,source_vit,5.0,7,0.14272642135620117,0.7997235059738159,0.006026506423950195
simple_vit,source_vit,10.0,14,0.16581690311431885,0.8603184223175049,0.006983518600463867
simple_vit,source_vit,15.0,21,0.21481509506702423,1.2016860246658325,0.013687372207641602
simple_vit,context_poses_vit,22.5,32,0.4447060227394104,3.7867214679718018,0.0292816162109375
simple_vit,context_poses_vit,45.0,64,0.9960687160491943,7.4228034019470215,0.11269259452819824
simple_vit,context_poses_vit,67.5,96,1.571700096130371,10.763312339782715,0.2385576367378235
simple_vit,context_poses_vit,90.0,128,2.0220842361450195,13.791043281555176,0.40086859464645386
simple_vit,context_poses_vit,112.5,160,2.310394287109375,16.8867244720459,0.6270066201686859
simple_vit,context_poses_vit,135.0,192,2.5506763458251953,19.776809692382812,0.8766008540987968
simple_vit,context_poses_vit,157.5,224,2.796731472015381,21.270931243896484,1.0268606916069984
simple_vit,context_poses_vit,180.0,256,3.009068012237549,21.5579776763916,1.085094541311264
simple_vit,context_poses_vit,202.5,288,3.0979456901550293,20.834768295288086,1.0477964133024216
simple_vit,context_poses_vit,225.0,320,3.079026937484741,19.312936782836914,0.8948338180780411
simple_vit,context_poses_vit,247.5,352,2.9326069355010986,17.640117645263672,0.7075398564338684
simple_vit,context_poses_vit,270.0,384,2.558732271194458,15.475561141967773,0.5219667851924896
simple_vit,context_poses_vit,292.5,416,1.836992859840393,12.193944931030273,0.31540071964263916
simple_vit,context_poses_vit,315.0,448,0.9545978307723999,8.074695587158203,0.13546568155288696
simple_vit,context_poses_vit,337.5,480,0.5043430328369141,3.9426498413085938,0.031951963901519775
simple_vit,context_poses_vit,5.0,7,0.18363386392593384,1.5640499591827393,0.005006313323974609
simple_vit,context_poses_vit,10.0,14,0.24167588353157043,2.1029891967773438,0.00900411605834961
simple_vit,context_poses_vit,15.0,21,0.3276515603065491,2.7564618587493896,0.01554805040359497
cyl_vit,source_vit,22.5,32,1.4901161193847656e-07,5.621398031507852e-07,-1.1920928955078125e-07
cyl_vit,source_vit,45.0,64,1.1920928955078125e-07,6.241178311938711e-07,-1.1920928955078125e-07
cyl_vit,source_vit,67.5,96,1.4901161193847656e-07,6.414542781385535e-07,0.0
cyl_vit,source_vit,90.0,128,1.7881393432617188e-07,7.434502435899049e-07,0.0
cyl_vit,source_vit,112.5,160,1.7881393432617188e-07,7.15141595719615e-07,0.0
cyl_vit,source_vit,135.0,192,1.1920928955078125e-07,7.489070412702858e-07,-1.1920928955078125e-07
cyl_vit,source_vit,157.5,224,1.7881393432617188e-07,8.022983024602581e-07,-1.1920928955078125e-07
cyl_vit,source_vit,180.0,256,1.4901161193847656e-07,8.271937872450508e-07,-1.1920928955078125e-07
cyl_vit,source_vit,202.5,288,1.4901161193847656e-07,7.625474722772196e-07,0.0
cyl_vit,source_vit,225.0,320,1.7881393432617188e-07,7.564048019048641e-07,-1.1920928955078125e-07
cyl_vit,source_vit,247.5,352,1.4901161193847656e-07,7.518066240663757e-07,0.0
cyl_vit,source_vit,270.0,384,1.4901161193847656e-07,7.22820800547197e-07,-1.1920928955078125e-07
cyl_vit,source_vit,292.5,416,1.7881393432617188e-07,7.184743253674242e-07,0.0
cyl_vit,source_vit,315.0,448,1.4901161193847656e-07,7.053876061036135e-07,5.960464477539063e-08
cyl_vit,source_vit,337.5,480,1.1920928955078125e-07,6.165462878016115e-07,-1.1920928955078125e-07
cyl_vit,source_vit,5.0,7,0.1578340232372284,0.8469126224517822,0.013925552368164062
cyl_vit,source_vit,10.0,14,0.15066471695899963,0.8951820731163025,0.01549595594406128
cyl_vit,source_vit,15.0,21,0.16251008212566376,0.8800566792488098,0.014368414878845215
cyl_vit,context_poses_vit,22.5,32,2.384185791015625e-07,1.2201768413433456e-06,0.0
cyl_vit,context_poses_vit,45.0,64,1.7881393432617188e-07,1.2356412071312661e-06,0.0
cyl_vit,context_poses_vit,67.5,96,1.7881393432617188e-07,1.3293559959492995e-06,0.0
cyl_vit,context_poses_vit,90.0,128,1.7881393432617188e-07,1.354101641481975e-06,-1.1920928955078125e-07
cyl_vit,context_poses_vit,112.5,160,2.384185791015625e-07,1.5019759302958846e-06,0.0
cyl_vit,context_poses_vit,135.0,192,2.384185791015625e-07,1.4385510667125345e-06,-1.1920928955078125e-07
cyl_vit,context_poses_vit,157.5,224,1.7881393432617188e-07,1.5468170886379085e-06,-1.1920928955078125e-07
cyl_vit,context_poses_vit,180.0,256,1.7881393432617188e-07,1.5419625469803577e-06,-1.1920928955078125e-07
cyl_vit,context_poses_vit,202.5,288,1.7881393432617188e-07,1.5237136494761216e-06,0.0
cyl_vit,context_poses_vit,225.0,320,2.384185791015625e-07,1.4857993164696381e-06,0.0
cyl_vit,context_poses_vit,247.5,352,1.7881393432617188e-07,1.4365181186803966e-06,-1.1920928955078125e-07
cyl_vit,context_poses_vit,270.0,384,1.7881393432617188e-07,1.3915581575929536e-06,-1.1920928955078125e-07
cyl_vit,context_poses_vit,292.5,416,1.7881393432617188e-07,1.3146741366654169e-06,-1.1920928955078125e-07
cyl_vit,context_poses_vit,315.0,448,1.7881393432617188e-07,1.26633028685319e-06,0.0
cyl_vit,context_poses_vit,337.5,480,1.1920928955078125e-07,1.1768903505071648e-06,0.0
cyl_vit,context_poses_vit,5.0,7,0.1732017993927002,1.5176150798797607,0.00904381275177002
cyl_vit,context_poses_vit,10.0,14,0.160487562417984,1.552977442741394,0.00946950912475586
cyl_vit,context_poses_vit,15.0,21,0.18669664859771729,1.5925136804580688,0.009709000587463379
